timestamp,author_name,membership,text
-1:57:28,ななこ,メンバー（6 か月）,:_ンボあいさつNbo::_ンボあいさつNbo:
-1:49:23,しるばにあ,メンバー（6 か月）,:_ンボあいさつNbo::_ンボあいさつNbo:
-1:43:55,정구겸,非メンバー,^^♥♥♥♥
-1:00:08,ブラックノート,メンバー（1 年）,:_ンボあいさつNbo::_ンボあいさつNbo:
-53:32,トキジ,メンバー（6 か月）,🕹 この絵文字よく見つけてきたよね
-49:51,若尾げんじまる,メンバー（1 年）,:_ンボあいさつNbo::_ンボあいさつNbo:
-43:41,名も無い誰か,非メンバー,待機
-36:58,くったん,メンバー（2 か月）,:_ンボあいさつNbo::_ンボあいさつNbo:
-32:28,こげてる,メンバー（1 年）,:_ンボあいさつNbo::_ンボあいさつNbo:
-30:40,いとうめたる,メンバー（1 年）,:_ンボあいさつNbo::_ンボあいさつNbo:
-29:55,そごろう,メンバー（2 か月）,:_ンボあいさつNbo::_ンボあいさつNbo:
-29:19,とか,メンバー（2 か月）,:_ンボあいさつNbo::_ンボあいさつNbo:
-28:39,Nooka,メンバー（2 か月）,:_ンボあいさつNbo::_ンボあいさつNbo:
-23:36,うつろ,メンバー（1 年）,:_ンボあいさつNbo::_ンボあいさつNbo:
-23:19,SAI,メンバー（2 か月）,:_ンボあいさつNbo::_ンボあいさつNbo:
-22:47,Choma Toma,メンバー（1 年）,:_ンボあいさつNbo::_ンボあいさつNbo:
-22:40,しゅんたま#桜ンボ,メンバー（2 年）,:_ンボあいさつNbo::_ンボあいさつNbo:
-21:58,たぬたぬ,メンバー（1 年）,:_ンボあいさつNbo::_ンボあいさつNbo:
-21:27,こげてる,メンバー（1 年）,面白いチョイスやね！
-21:20,かいじゅうゃ,メンバー（1 年）,:_ンボあいさつNbo::_ンボあいさつNbo:
-20:12,ぴぷ,メンバー（1 年）,:_ンボあいさつNbo::_ンボあいさつNbo:
-18:01,ぢぢ,メンバー（1 年）,:_ンボあいさつNbo::_ンボあいさつNbo:
-17:59,ぽりばけつ,メンバー（1 年）,:_ンボあいさつNbo::_ンボあいさつNbo:
-17:07,さるえる,メンバー（1 年）,:_ンボあいさつNbo::_ンボあいさつNbo:
-16:40,玄徳,メンバー（2 か月）,:_ンボあいさつNbo::_ンボあいさつNbo:
-15:29,秋月団子,メンバー（2 か月）,:_ンボあいさつNbo::_ンボあいさつNbo:
-13:13,ハーフブロック,メンバー（6 か月）,:_ンボあいさつNbo::_ンボあいさつNbo:
-9:54,あき,メンバー（2 か月）,:_ンボあいさつNbo::_ンボあいさつNbo:
-8:08,あぶぶ,メンバー（1 年）,:_ンボあいさつNbo::_ンボあいさつNbo:
-8:00,月見だんご,メンバー（1 年）,:_ンボあいさつNbo::_ンボあいさつNbo:
-6:46,カズ,メンバー（1 年）,:_ンボあいさつNbo::_ンボあいさつNbo:
-6:34,jpにいやま,メンバー（1 年）,:_ンボあいさつNbo::_ンボあいさつNbo:
-6:17,るいゆ,メンバー（6 か月）,:_ンボあいさつNbo::_ンボあいさつNbo:
-6:13,しゅんたま#桜ンボ,メンバー（2 年）,:_ンボあいさつNbo::_ンボあいさつNbo:してきた
-5:35,Snow man,メンバー（1 年）,:_ンボあいさつNbo::_ンボあいさつNbo:
-5:02,いぬ大福,メンバー（1 年）,:_ンボあいさつNbo::_ンボあいさつNbo:
-4:56,あん子,メンバー（6 か月）,:_ンボあいさつNbo::_ンボあいさつNbo:
-4:20,かわらそば,メンバー（1 年）,:_ンボあいさつNbo::_ンボあいさつNbo:
-3:49,秋月団子,メンバー（2 か月）,りつきんがツキイチに！
-2:57,袋売りのフクロウ,メンバー（2 か月）,:_ンボあいさつNbo::_ンボあいさつNbo:
-1:37,UBの眠らせてくるやつ,メンバー（2 か月）,:_ンボあいさつNbo::_ンボあいさつNbo:
-1:35,ナギ,メンバー（2 か月）,:_ンボあいさつNbo::_ンボあいさつNbo:
-1:28,猫田るーみん,メンバー（6 か月）,:_ンボあいさつNbo::_ンボあいさつNbo:してきたしグッズ届いた
-1:21,希卵茶,メンバー（2 か月）,:_ンボあいさつNbo::_ンボあいさつNbo:
-1:08,Ryu,新規メンバー,:_ンボあいさつNbo::_ンボあいさつNbo:
-1:00,ネリー・モノ,メンバー（1 年）,:_ンボあいさつNbo::_ンボあいさつNbo:
-0:59,希卵茶,メンバー（2 か月）,ん、ツキイチ？
-0:39,Ryu,新規メンバー,レバガチャかな
-0:06,Choma Toma,メンバー（1 年）,実質レバガチャダイパン
-0:05,べくたー君,メンバー（6 か月）,:_ンボあいさつNbo::_ンボあいさつNbo:
0:04,黒澤美穂,メンバー（6 か月）,:_ンボあいさつNbo::_ンボあいさつNbo:
0:04,しゅんたま#桜ンボ,メンバー（2 年）,:_ンボあいさつきんあ::_ンボあいさつきんあ::_ンボあいさつりつあ::_ンボあいさつきんあ::_ンボあいさつこんあ::_ンボあいさつりつあ::_ンボあいさつきんあ:
0:07,いとうめたる,メンバー（1 年）,:_ンボあいさつこんあ::_ンボあいさつこんあ::_ンボあいさつこんあ::_ンボあいさつこんあ::_ンボあいさつこんあ::_ンボあいさつこんあ::_ンボあいさつこんあ:
0:07,ヤギ,メンバー（1 年）,:_ンボあいさつNbo::_ンボあいさつNbo:
0:09,ネリー・モノ,メンバー（1 年）,:_ンボあいさつこんあ::_ンボあいさつこんあ::_ンボあいさつりつあ::_ンボあいさつきんあ::_ンボあいさつこんあ::_ンボあいさつりつあ::_ンボあいさつきんあ:
0:12,ぽりばけつ,メンバー（1 年）,:_ンボあいさつこんあ::_ンボあいさつりつあ::_ンボあいさつきんあ:
0:15,秋月団子,メンバー（2 か月）,:_ンボあいさつこんあ::_ンボあいさつりつあ::_ンボあいさつきんあ:
0:18,トキジ,メンバー（6 か月）,はじまった！
0:18,ぴぷ,メンバー（1 年）,:_ンボあいさつこんあ::_ンボあいさつこんあ::_ンボあいさつりつあ::_ンボあいさつきんあ::_ンボあいさつりつあ::_ンボあいさつきんあ::_ンボあいさつきんあ:
0:23,いとうめたる,メンバー（1 年）,:_ンボあいさつこんあ::_ンボあいさつりつあ::_ンボあいさつきんあ:
0:23,ヤギ,メンバー（1 年）,:_ンボあいさつこんあ::_ンボあいさつりつあ::_ンボあいさつきんあ:
0:26,猫侍マサト,メンバー（1 年）,:_ンボあいさつこんあ::_ンボあいさつりつあ::_ンボあいさつきんあ:
0:26,あき,メンバー（2 か月）,:_ンボあいさつこんあ::_ンボあいさつりつあ::_ンボあいさつきんあ:
0:28,玄徳,メンバー（2 か月）,:_ンボあいさつこんあ::_ンボあいさつりつあ::_ンボあいさつきんあ:
0:28,労働者320,メンバー（1 年）,:_ンボあいさつこんあ::_ンボあいさつりつあ::_ンボあいさつきんあ:
0:29,うつろ,メンバー（1 年）,:_ンボあいさつこんあ::_ンボあいさつりつあ::_ンボあいさつきんあ:
0:35,ぢぢ,メンバー（1 年）,:_ンボあいさつこんあ::_ンボあいさつりつあ::_ンボあいさつきんあ::_ンボあいさつきんあ::_ンボあいさつこんあ::_ンボあいさつこんあ::_ンボあいさつりつあ::_ンボあいさつきんあ:
0:39,しゅんたま#桜ンボ,メンバー（2 年）,:_ンボあいさつおーー::_ンボあいさつＰだよ:しゅき
0:45,SAI,メンバー（2 か月）,:_ンボあいさつこんあ::_ンボあいさつりつあ::_ンボあいさつきんあ:
0:45,いぬ大福,メンバー（1 年）,:_ンボあいさつおーー::_ンボあいさつＰだよ:かっこいい
0:45,緒方正義,非メンバー,こんりつきん
0:47,狙撃猫,非メンバー,えれえとこで止まったような？
0:51,カペル,非メンバー,こんりつきーん
0:54,希卵茶,メンバー（2 か月）,御神木さま！
0:55,Nooka,メンバー（2 か月）,:_ンボあいさつこんあ::_ンボあいさつりつあ::_ンボあいさつきんあ::_ンボあいさつおーー::_ンボあいさつＰだよ:すき
0:58,jpにいやま,メンバー（1 年）,:_ンボあいさつこんあ::_ンボあいさつりつあ::_ンボあいさつきんあ:
1:00,Ryu,新規メンバー,かっこいい
1:02,いぬ大福,メンバー（1 年）,:_ンボあいさつこんあ::_ンボあいさつりつあ::_ンボあいさつきんあ:
1:02,若尾げんじまる,メンバー（1 年）,:_ンボあいさつこんあ::_ンボあいさつりつあ::_ンボあいさつきんあ::_ンボあいさつNbo:
1:04,猫田るーみん,メンバー（6 か月）,:_ンボあいさつおーー::_ンボあいさつＰだよ:狂おしいほどすこ
1:07,ネリー・モノ,メンバー（1 年）,:_ンボあいさつNbo:ガチャダイパン！！
1:11,Snow man,メンバー（1 年）,:_ンボあいさつこんあ::_ンボあいさつりつあ::_ンボあいさつきんあ:です
1:16,キモルム,メンバー（6 か月）,:_ンボあいさつこんあ::_ンボあいさつりつあ::_ンボあいさつきんあ:
1:17,秋月団子,メンバー（2 か月）,:_ンボあいさつこんあ::_ンボあいさつりつあ::_ンボあいさつきんあ:
1:17,月見だんご,メンバー（1 年）,:_ンボあいさつこんあ::_ンボあいさつりつあ::_ンボあいさつきんあ:
1:18,るいゆ,メンバー（6 か月）,:_ンボあいさつこんあ::_ンボあいさつりつあ::_ンボあいさつきんあ:
1:18,A00,メンバー（1 年）,:_ンボあいさつこんあ::_ンボあいさつりつあ::_ンボあいさつきんあ:
1:21,いとうめたる,メンバー（1 年）,しゃーす
1:24,いぬ大福,メンバー（1 年）,おお、さっそく懐かしいゲームタイトルが並んでる!
1:25,すみっこのペーター,非メンバー,こんりつきん！
1:29,むいむい,メンバー（1 か月）,:_ンボあいさつこんあ::_ンボあいさつりつあ::_ンボあいさつきんあ:
1:36,トキジ,メンバー（6 か月）,こんりつきーん！ ちょっとBGMが大きいかも？
1:38,希卵茶,メンバー（2 か月）,おおお？
1:40,Snow man,メンバー（1 年）,案件かな
1:43,とか,メンバー（2 か月）,たのしみー
1:44,若尾げんじまる,メンバー（1 年）,名作ゲームが勢ぞろいだあああ
1:49,ぴぷ,メンバー（1 年）,うお～懐かしいゲーム達だ
1:49,くろくろ,非メンバー,こんりつきーん
2:02,ぢぢ,メンバー（1 年）,名作ばかりだわ
2:02,cat hal,非メンバー,こんりつきん！
2:07,秋月団子,メンバー（2 か月）,ぷよ通だけで一生遊べる
2:07,ヤギ,メンバー（1 年）,忍者プリンセスとか今日のりつきんぴったりやん
2:10,moby,非メンバー,ファンタジーゾーンおすすめ
2:10,いとうめたる,メンバー（1 年）,何やるのかなぁ
2:12,Snow man,メンバー（1 年）,ﾎﾟｰﾎﾟｰﾋﾟｰﾋﾟﾎﾟｰﾋﾟｯﾋﾟｰ
2:14,しゅんたま#桜ンボ,メンバー（2 年）,セーガー
2:22,Snow man,メンバー（1 年）,調整たすかる
2:22,あぶぶ,メンバー（1 年）,:_ンボあいさつこんあ::_ンボあいさつりつあ::_ンボあいさつきんあ:
2:26,玄徳,メンバー（2 か月）,良い感じ
2:26,Snow man,メンバー（1 年）,ちょうどいい感じですね
2:26,あき,メンバー（2 か月）,懐かしいゲームだなぁ
2:29,希卵茶,メンバー（2 か月）,おけおけ
2:31,トキジ,メンバー（6 か月）,調整ありがとう！ 聴こえやすくなった！
2:44,ブラックノート,メンバー（1 年）,ボタンは実機と同じ三和製らしい こだわりを感じる
2:48,Snow man,メンバー（1 年）,ﾋﾟｯﾋﾟｰﾎﾟﾋﾟﾎﾟﾋﾟｰ
2:48,タケヤリ,メンバー（1 年）,:_ンボあいさつこんあ::_ンボあいさつりつあ::_ンボあいさつきんあ:
3:02,ネリー・モノ,メンバー（1 年）,おっけ！
3:03,しゅんたま#桜ンボ,メンバー（2 年）,よろしゅう
3:06,もちのしらたま,メンバー（6 か月）,:_ンボあいさつこんあ::_ンボあいさつりつあ::_ンボあいさつきんあ::_ンボあいさつりつあ::_ンボあいさつきんあ:
3:08,希卵茶,メンバー（2 か月）,ピッピー
3:10,玄徳,メンバー（2 か月）,よろしおす
3:18,かたなし。,非メンバー,こんりつきーん
3:18,うつろ,メンバー（1 年）,おっけ
3:21,moby,非メンバー,よかよー
3:22,もちのしらたま,メンバー（6 か月）,御神木様衣装かわいいーー！！！
3:24,SAI,メンバー（2 か月）,ちょうどいい感じだと思います
3:26,若尾げんじまる,メンバー（1 年）,おっけー
3:27,月見だんご,メンバー（1 年）,良い感じ
3:35,いとうめたる,メンバー（1 年）,よいです
3:37,星風人:,非メンバー,それ本体（機体）の明るさ音量なんですわ
3:43,本間健太,非メンバー,おはりつきーん
3:46,カレアcount-carea,非メンバー,こんりつきん🌸
4:00,Snow man,メンバー（1 年）,オプション画面とメニュー画面の音量は違うから大丈夫でしょ
4:05,希卵茶,メンバー（2 か月）,いや、あってると思うが
4:06,フィジカルハイポーション,新規メンバー,:_ンボあいさつこんあ::_ンボあいさつりつあ::_ンボあいさつきんあ:
4:07,痔ェントルマン,非メンバー,こんりつきーん！
4:16,玄徳,メンバー（2 か月）,大丈夫じゃない？
4:17,笑顏,メンバー（2 か月）,:_ンボあいさつこんあ::_ンボあいさつりつあ::_ンボあいさつきんあ:
4:19,たぬたぬ,メンバー（1 年）,ちなみに初めは5だったから小さくなってる
4:23,Snow man,メンバー（1 年）,違うごた
4:23,しゅんたま#桜ンボ,メンバー（2 年）,大丈夫だよ
4:31,543コブラ,新規メンバー,:_ンボあいさつこんあ::_ンボあいさつりつあ::_ンボあいさつきんあ:
4:37,うさぎ,メンバー（1 年）,:_ンボあいさつこんあ::_ンボあいさつりつあ::_ンボあいさつきんあ:
4:41,Snow man,メンバー（1 年）,SEGAさんやね
4:43,あんぱんちゃん,非メンバー,買ったの？
4:50,しゅんたま#桜ンボ,メンバー（2 年）,地球のゲーセンのゲームだね
4:51,ネリー・モノ,メンバー（1 年）,ゲームセンターの再現音量なのかもね～
4:51,フィジカルハイポーション,新規メンバー,セーガー
4:53,moby,非メンバー,ファンタジーゾーンやろうやろう
4:59,玄徳,メンバー（2 か月）,ｾｰｶﾞｰ
5:01,すみっこのペーター,非メンバー,ゲームセンターにあるアーケードゲームが遊べるんですね！
5:01,おこりんぼう将軍,非メンバー,いにしえのゲームや
5:02,ぬた,メンバー（2 か月）,:_ンボあいさつこんあ::_ンボあいさつりつあ::_ンボあいさつきんあ:
5:08,しゅんたま#桜ンボ,メンバー（2 年）,バーチャファイター
5:10,月見だんご,メンバー（1 年）,すっごいお得！
5:10,ほっきょくねこ,メンバー（1 年）,:_ンボあいさつこんあ::_ンボあいさつりつあ::_ンボあいさつきんあ:
5:16,痔ェントルマン,非メンバー,全部懐かしいｗ
5:17,Snow man,メンバー（1 年）,知名度はそうやろなぁ
5:18,さるえる,メンバー（1 年）,ｗ
5:18,玄徳,メンバー（2 か月）,じゃあぷよぷよからやってみる？
5:25,名も無い誰か,非メンバー,こんりつきん
5:29,あんぱんちゃん,非メンバー,スペースハリアー懐かしい
5:31,千代田隆景,非メンバー,寧ろ新鮮でいい
5:32,ヤンバル,非メンバー,ほとんど２０～２５年ぐらい前のゲームばっかりだもの
5:41,しゅんたま#桜ンボ,メンバー（2 年）,ぷよぷよが一番メジャーかもね
5:41,すみっこのペーター,非メンバー,ボナンザブラザーズ面白いですよー！
5:44,いとうめたる,メンバー（1 年）,獣王記だ
5:44,月見だんご,メンバー（1 年）,ファンタジーゾーンいいなぁ
5:44,ぽりばけつ,メンバー（1 年）,獣王記好きだったなー
5:44,ほっきょくねこ,メンバー（1 年）,懐かしいなぁ
5:49,名も無い誰か,非メンバー,ゲームセンター黄金時代
5:49,Snow man,メンバー（1 年）,いいと思います
5:51,たぬたぬ,メンバー（1 年）,ぷよぷよ～
5:51,くろくろ,非メンバー,こういう機会で知るのもまたよし
5:53,カレアcount-carea,非メンバー,いちから！？
5:55,moby,非メンバー,獣王記やりまーす
5:57,Naka,メンバー（1 年）,ぷよぶよくらいしかわからんw
6:04,いぬ大福,メンバー（1 年）,うわーなっつー
6:05,Snow man,メンバー（1 年）,レバー使うか分からんけどレバガチャ対策で
6:07,darake,非メンバー,ウメハラ持ちしましょ
6:09,Ryu,新規メンバー,懐かしい
6:12,るいゆ,メンバー（6 か月）,なつかしい！！
6:12,こしょう,非メンバー,こんりつきーん
6:13,しゅんたま#桜ンボ,メンバー（2 年）,なっっっっっっつ
6:15,Snow man,メンバー（1 年）,つまむ感じやね
6:20,ブラックノート,メンバー（1 年）,つまみ持ちとかワイングラス持ちとかあるよね
6:24,suva,非メンバー,初代ぷよはお邪魔の相殺がないから即死をスピーディに組むゲーム
6:26,Snow man,メンバー（1 年）,ワイングラス持つ感じとは違う感じ
6:26,ベアグリルス,非メンバー,つまみ持ちか かぶせ持ちかだ
6:26,うつろ,メンバー（1 年）,なっつ
6:32,ぴぷ,メンバー（1 年）,ばたんきゅ～
6:37,若尾げんじまる,メンバー（1 年）,懐かしいな～
6:43,小山陽太,メンバー（2 か月）,かわいい
6:46,名も無い誰か,非メンバー,ばよぇ～ん
6:46,ブラックノート,メンバー（1 年）,ばっよえ～ん
6:47,秋月団子,メンバー（2 か月）,ぱよえーん
6:49,future,非メンバー,なつかし
6:49,りょう,メンバー（2 か月）,ばよえーん
6:50,いとうめたる,メンバー（1 年）,言ってないよ
6:50,トキジ,メンバー（6 か月）,ばよえ～ん、なつい
6:50,玄徳,メンバー（2 か月）,ばよえーん
6:51,名も無い誰か,非メンバー,マヨネーズではない
6:52,若尾げんじまる,メンバー（1 年）,ぱよえーん
6:55,月見だんご,メンバー（1 年）,マヨネーズ草
6:55,太郎田中,非メンバー,ばよえーん
6:56,るいゆ,メンバー（6 か月）,音がなつかしい
6:58,崩壊するジン,非メンバー,ふぁいやーすき
7:01,たぬたぬ,メンバー（1 年）,マヨネーズは美味しい
7:01,しるばにあ,メンバー（6 か月）,パン4円♪
7:03,Doe,非メンバー,ばよえ〜ん
7:05,Snow man,メンバー（1 年）,やさしいにしとこ
7:07,ヒイロ,非メンバー,マヨネーズ？w
7:07,しゅんたま#桜ンボ,メンバー（2 年）,食いしん坊はカーくんなのよ
7:12,名も無い誰か,非メンバー,音質が古いので聞こえづらい
7:15,希卵茶,メンバー（2 か月）,うわ懐かしい
7:17,しゅんたま#桜ンボ,メンバー（2 年）,儂も飲もう！！
7:25,たぬたぬ,メンバー（1 年）,草
7:30,ネリー・モノ,メンバー（1 年）,お茶の呼吸！
7:30,名も無い誰か,非メンバー,スケルトンなのに、飲んだ茶はどこへ行くのか
7:34,若尾げんじまる,メンバー（1 年）,スケさん
7:34,Snow man,メンバー（1 年）,せやね
7:36,折られたモップ,非メンバー,なつかしいな
7:37,トキジ,メンバー（6 か月）,怒涛の展開
7:46,odd,非メンバー,なつかしいな
7:46,Snow man,メンバー（1 年）,4つくっつければええよ
7:49,とか,メンバー（2 か月）,かわいい
7:49,ネリー・モノ,メンバー（1 年）,草
7:54,食べ物ゴリラ,非メンバー,今見ても色がきれいだ
7:59,いぬ大福,メンバー（1 年）,次来るやつも見ながら積み立てるといいよ
8:04,Snow man,メンバー（1 年）,せやね
8:06,月見だんご,メンバー（1 年）,はたして連鎖作れるかな？
8:06,名も無い誰か,非メンバー,同じ色４つで消滅。設置の仕方で連鎖消し可能。
8:07,若尾げんじまる,メンバー（1 年）,連鎖組んじゃう？
8:08,ばんぶるくん,非メンバー,出張スケルトンさん
8:10,しゅんたま#桜ンボ,メンバー（2 年）,お
8:13,秋月団子,メンバー（2 か月）,緑壊せば連鎖
8:17,あんぱんちゃん,非メンバー,連鎖組めるんか？
8:17,名も無い誰か,非メンバー,おじゃまプヨ
8:23,しゅんたま#桜ンボ,メンバー（2 年）,同時消しになりそう
8:23,とか,メンバー（2 か月）,それはそうw
8:25,いぬ大福,メンバー（1 年）,いや、これでもいい
8:27,希卵茶,メンバー（2 か月）,お？
8:28,フィジカルハイポーション,新規メンバー,かわいい
8:31,Snow man,メンバー（1 年）,いいね！
8:34,ヤギ,メンバー（1 年）,:_ンボあいさつナイス:
8:34,しゅんたま#桜ンボ,メンバー（2 年）,3連鎖！
8:36,Nooka,メンバー（2 か月）,ナイスゥ
8:36,sima mitu,非メンバー,まぁ、
8:36,ななこ,メンバー（6 か月）,:_ンボあいさつナイス:
8:37,トキジ,メンバー（6 か月）,ナイス連鎖！
8:42,かいじゅうゃ,メンバー（1 年）,:_ンボあいさつナイス:
8:42,しるばにあ,メンバー（6 か月）,うまいうまい
8:43,Lost Desire,非メンバー,うま！
8:45,cat hal,非メンバー,大体そんな感じ
8:45,あんぱんちゃん,非メンバー,天才やんけ！
8:47,Snow man,メンバー（1 年）,せやね
8:52,ネリー・モノ,メンバー（1 年）,初めて３連鎖！いいね！
8:55,Snow man,メンバー（1 年）,りつきん上手くない？
8:55,希卵茶,メンバー（2 か月）,いやー懐かしいww
8:58,suva,非メンバー,初見で3連組めるならだいぶ強い
9:04,ブラックノート,メンバー（1 年）,連鎖少しでも出来たら骨はイチコロよ
9:09,鵺丸堂,非メンバー,お邪魔ぷよが見えにくい色数少ない時代の画面懐かしいなぁ
9:17,まくろ,非メンバー,スケＴは回転も高速落下もできないんだったな
9:17,Snow man,メンバー（1 年）,めっちゃ泣いてる
9:19,しゅんたま#桜ンボ,メンバー（2 年）,泣いちゃった
9:26,ヒイロ,非メンバー,がいこつが泣いてるw
9:28,しゅんたま#桜ンボ,メンバー（2 年）,かわいい
9:29,名も無い誰か,非メンバー,ダバーッ
9:35,ヤギ,メンバー（1 年）,お前どっから涙でとんねんｗ
9:35,秋月団子,メンバー（2 か月）,そのためのお茶
9:36,タケヤリ,メンバー（1 年）,かわいい
9:39,ぴぷ,メンバー（1 年）,ナイスゥ！
9:39,しゅんたま#桜ンボ,メンバー（2 年）,よゆー！
9:39,名も無い誰か,非メンバー,ナイスゥ！！
9:41,若尾げんじまる,メンバー（1 年）,どっから水分出てきたww
9:42,希卵茶,メンバー（2 か月）,かわいそうかわいい
9:43,Naka,メンバー（1 年）,:_ンボあいさつナイス::_ンボあいさつナイス:
9:45,タケヤリ,メンバー（1 年）,:_ンボあいさつナイス:
9:45,わかめ炒飯,メンバー（1 年）,ないすぅ！
9:45,あん子,メンバー（6 か月）,ナイスゥ！
9:49,UBの眠らせてくるやつ,メンバー（2 か月）,ナイスゥ！
9:50,るいゆ,メンバー（6 か月）,:_ンボあいさつナイス::_ンボあいさつナイス:
9:50,秋月団子,メンバー（2 か月）,ナスです
9:52,いとうめたる,メンバー（1 年）,かわいい
9:52,あぶぶ,メンバー（1 年）,ないすぅ！
9:52,鵺丸堂,非メンバー,ナスです
9:53,名も無い誰か,非メンバー,腐ったトマトはひどい
9:56,たぬたぬ,メンバー（1 年）,🍆
9:57,逢坂〔おーさか〕,メンバー（2 か月）,:_ンボあいさつこんあ::_ンボあいさつりつあ::_ンボあいさつきんあ:
9:59,うつろ,メンバー（1 年）,:_ンボあいさつナイス:
9:59,Nooka,メンバー（2 か月）,草
10:00,トキジ,メンバー（6 か月）,ナスです
10:02,しゅんたま#桜ンボ,メンバー（2 年）,草
10:02,ブラックノート,メンバー（1 年）,N A S U
10:02,ななこ,メンバー（6 か月）,青とまと
10:02,Mana mana,非メンバー,ナスでした
10:07,Stereochrome,非メンバー,なす！
10:08,イシザカNBO太郎,メンバー（6 か月）,茄子！
10:11,しるばにあ,メンバー（6 か月）,腐ったトマト草
10:14,とか,メンバー（2 か月）,パンナコッタ
10:14,ネリー・モノ,メンバー（1 年）,ぷよぷよやった後で魔導物語やるとびっくりするよね
10:14,秋月団子,メンバー（2 か月）,腐らせたくて腐
10:15,rim。,非メンバー,かわいい
10:15,Sonya -chan,非メンバー,グウェルみたいなナスだな
10:16,いとうめたる,メンバー（1 年）,なんてこった！パンナコッタ！！
10:18,ヤギ,メンバー（1 年）,唐突に強くなるやん
10:20,こもちロリコンじゅっさい,メンバー（1 年）,トマトも茄子科だしな
10:34,suva,非メンバー,そのナス通以降だと強いよ
10:34,月見だんご,メンバー（1 年）,かわいい
10:40,たぬたぬ,メンバー（1 年）,がんばれ～
10:44,海野さかな,非メンバー,ナスグレイブ先輩じゃないっすか！
10:49,いぬ大福,メンバー（1 年）,おたんこなーす
10:49,rim。,非メンバー,あるあるww
10:51,たぬたぬ,メンバー（1 年）,かわいい
10:51,名も無い誰か,非メンバー,うわー！おじゃまがー！
10:52,希卵茶,メンバー（2 か月）,お邪魔そんなきにしなくてもだいじょぶ
10:52,しゅんたま#桜ンボ,メンバー（2 年）,:_ンボあいさつばかちん:
10:52,カレアcount-carea,非メンバー,かわいい
10:52,いぬ大福,メンバー（1 年）,:_ンボあいさつばかちん:
10:53,黒澤美穂,メンバー（6 か月）,:_ンボあいさつばかちん:
10:54,フィジカルハイポーション,新規メンバー,かわいい
10:54,ネリー・モノ,メンバー（1 年）,:_ンボあいさつばかちん:
10:54,若尾げんじまる,メンバー（1 年）,:_ンボあいさつばかちん:
10:57,アキパン,非メンバー,かわいい
10:57,たぬたぬ,メンバー（1 年）,:_ンボあいさつばかちん:
10:59,Ryu,新規メンバー,かわいい
10:59,えいわず,メンバー（2 か月）,おたんこなーす
10:59,Naka,メンバー（1 年）,:_ンボあいさつばかちん:
11:01,しゅんたま#桜ンボ,メンバー（2 年）,消してこう
11:01,cat hal,非メンバー,※そういうゲームです
11:02,月見だんご,メンバー（1 年）,:_ンボあいさつばかちん:
11:11,darake,非メンバー,初代は相殺がないんよね
11:13,りょう,メンバー（2 か月）,ナスがわろとるわ
11:16,いぬ大福,メンバー（1 年）,いいぞー
11:23,Snow man,メンバー（1 年）,ファイヤー打てれば充分やで
11:23,とか,メンバー（2 か月）,意図してなかったw
11:23,名も無い誰か,非メンバー,ヤレヤレだぜ！
11:41,名も無い誰か,非メンバー,意図せぬ消しは初心者の嗜み
11:41,若尾げんじまる,メンバー（1 年）,台パンもついでにしとくか
11:45,とか,メンバー（2 か月）,イケボ助かる
11:47,Snow man,メンバー（1 年）,ナイスファイヤー
11:47,なろう系VTuberリイエル,メンバー（2 か月）,初代ACって逆回転がない…？
11:49,いづきはむ,メンバー（1 年）,:_ンボあいさつこんあ::_ンボあいさつりつあ::_ンボあいさつきんあ:
11:51,希卵茶,メンバー（2 か月）,レバガチャ聞きたいからバーチャもやってほしいなー
11:52,ネリー・モノ,メンバー（1 年）,レバガチャはもっと脳死でガチャガチャ動かすよ！
11:55,しゅんたま#桜ンボ,メンバー（2 年）,ハーピイ積み？
11:58,DiceK,メンバー（2 か月）,:_ンボあいさつこんあ::_ンボあいさつりつあ::_ンボあいさつきんあ:
12:00,Snow man,メンバー（1 年）,せやね
12:02,Mana mana,非メンバー,初代は相殺システムがないとよぉ
12:07,まくろ,非メンバー,逆回転も相殺もないもんね
12:09,名も無い誰か,非メンバー,グワーッ！
12:14,ベアグリルス,非メンバー,レバガチャって格ゲーから生まれた言葉？
12:16,秋月団子,メンバー（2 か月）,ナイスゥ！
12:16,あぶぶ,メンバー（1 年）,いいのサ！
12:16,しゅんたま#桜ンボ,メンバー（2 年）,お
12:24,名も無い誰か,非メンバー,ええのです。
12:28,Snow man,メンバー（1 年）,段々早くなるからもうそろそろ終わるで
12:33,太郎田中,非メンバー,せやで
12:33,Mana mana,非メンバー,いーんです
12:33,トキジ,メンバー（6 か月）,どっちかがしぬまで
12:33,ヤギ,メンバー（1 年）,無論、死ぬまで
12:35,ギルティナ,非メンバー,無論、死ぬまで
12:39,ネリー・モノ,メンバー（1 年）,まさにデスゲーム！
12:42,若尾げんじまる,メンバー（1 年）,どっちかが天井に行くまで
12:50,しゅんたま#桜ンボ,メンバー（2 年）,かわいい
12:52,とか,メンバー（2 か月）,かわいい
12:52,月見だんご,メンバー（1 年）,ヤバい
12:53,名も無い誰か,非メンバー,こまった！
12:55,Snow man,メンバー（1 年）,すげえいやらしい顔してる
12:58,しゅんたま#桜ンボ,メンバー（2 年）,gg
13:00,Naka,メンバー（1 年）,あっ
13:01,スリムシェイプ。。,非メンバー,あー
13:01,希卵茶,メンバー（2 か月）,あー
